trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
239,False,"{'a': 0.5, 'e': 0.0905339582851764}",30,17,27.290144858773782,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
240,False,"{'a': 0.5, 'e': 0.08962861870232462}",25,5,30.68574094196395,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",1
241,False,"{'a': 0.5, 'e': 0.08873233251530138}",25,20,11.161627248902448,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
242,False,"{'a': 0.5, 'e': 0.08784500919014836}",20,3,29.815515406180925,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
243,False,"{'a': 0.5, 'e': 0.08696655909824688}",25,0,18.21784892940851,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
244,False,"{'a': 0.5, 'e': 0.0860968935072644}",20,14,9.488753499324915,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
245,False,"{'a': 0.5, 'e': 0.08523592457219176}",25,15,20.71494637042494,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
246,False,"{'a': 0.5, 'e': 0.08438356532646984}",20,12,19.668757431655045,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
247,False,"{'a': 0.5, 'e': 0.08353972967320515}",25,15,15.380017396913942,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
248,False,"{'a': 0.5, 'e': 0.0827043323764731}",20,8,20.037244387228945,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
249,False,"{'a': 0.5, 'e': 0.08187728905270836}",25,11,23.535995258862307,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
250,False,"{'a': 0.5, 'e': 0.08105851616218128}",20,13,12.860489453387002,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
251,False,"{'a': 0.5, 'e': 0.08024793100055946}",30,16,28.139813077495216,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
252,False,"{'a': 0.5, 'e': 0.07944545169055386}",30,9,32.05454737511665,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
253,False,"{'a': 0.5, 'e': 0.07865099717364833}",35,21,-12.838065383101329,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
254,False,"{'a': 0.5, 'e': 0.07786448720191184}",25,10,12.241138233631304,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
255,False,"{'a': 0.5, 'e': 0.07708584232989273}",25,17,13.910089387026895,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
